FM;KD_JENIS_TRANSAKSI;FG_PENGGANTI;NOMOR_FAKTUR;MASA_PAJAK;TAHUN_PAJAK;TANGGAL_FAKTUR;NPWP;NAMA;ALAMAT_LENGKAP;JUMLAH_DPP;JUMLAH_PPN;JUMLAH_PPNBM;IS_CREDITABLE;FIELD_TAMBAHAN_1;FIELD_TAMBAHAN_2;FIELD_TAMBAHAN_3;FIELD_TAMBAHAN_4;FIELD_TAMBAHAN_5
FM;01;1;0031866975685;07;2018;07/06/2018;016000127517000;CV. TANAH PUTIH;JL. DR. WAHIDIN NO. 4, JOMBLANG, KOTA SEMARANG;6080500;608050;0;1;013;013;;;
FM;01;0;0031884905622;07;2018;20/05/2018;015947039511000;CV. BAROKAH ABADI;JL. TEGALSARI RAYA NO. 31, TEGALSARI, KOTA SEMARANG;900000;90000;0;1;013;013;;;
FM;03;0;0041874594144;07;2018;23/07/2018;018310698511000;KOP TKBM PELABUHAN TANJUNG EMAS SEMARANG;JL BORNEO NO 3 TANJUNGMAS SEMARANG;39037760;3903776;0;1;013;013;;;
FM;07;0;0021842870795;07;2018;04/07/2018;032015174613000;PT PELINDO MARINE SERVICE;SURABAYA;613328651;61332865;0;0;009;009;;;
FM;03;0;0021808329797;07;2018;26/07/2018;015949019517000;CV NUSA ABADI;JL CANDI LOSMEN NO 11 CANDI KOTA SEMARANG;27500000;2750000;0;1;013;013;;;
FM;03;0;0021844766180;07;2018;26/07/2018;027751320518000;CV TIGAJAYA ABADI;BERUANG DALAM TIMUR I/14 RT 001 RW 001 KALICARI KOTA SEMARANG;65000000;6500000;0;1;013;013;;;
FM;03;0;0031860441386;07;2018;19/07/2018;011329059092000;PT AKR CORPORINDO;JL PANJANG NO 5 KEBUN JERUK DKI JAKARTA JAKARTA BARAT;13000000;1300000;0;1;013;013;;;
FM;03;0;0041874594142;07;2018;23/07/2018;018310698511000;KOP TKBM PELABUHAN TANJUNG EMAS SEMARANG;JL BORNEO NO 3 TANJUNGMAS SEMARANG;30506040;3050604;0;1;013;013;;;
FM;03;0;0041874594175;07;2018;27/07/2018;018310698511000;KOP TKBM PELABUHAN TANJUNG EMAS SEMARANG;JL BORNEO NO 3 TANJUNGMAS SEMARANG;347956816;34795681;0;1;013;013;;;
FM;03;0;0021859038304;07;2018;30/07/2018;711503508508000;CV DINAR MITRAGUNA;JL PISANG RT 005 RW 003 LAMPER TENGAH KOTA SEMARANG;4951000;495100;0;1;013;013;;;
FM;01;1;0031864807726;07;2018;28/06/2018;018310698511000;KOP TENAGA KERJA BONGKAR MUAT PELABUHAN TANJUNG EMAS SEMARANG;JL. BORNEO NO.3, TANJUNGMAS, SEMARANG;5887141;588714;0;1;013;013;;;
FM;03;0;0041874594143;07;2018;23/07/2018;018310698511000;KOP TKBM PELABUHAN TANJUNG EMAS SEMARANG;JL BORNEO NO 3 TANJUNGMAS SEMARANG;26657466;2665746;0;1;013;013;;;
FM;03;0;0041874594122;07;2018;19/07/2018;018310698511000;KOP TKBM PELABUHAN TANJUNG EMAS SEMARANG;JL BORNEO NO 3 TANJUNGMAS SEMARANG;22161370;2216137;0;1;013;013;;;
FM;03;0;0021833319074;07;2018;23/07/2018;015615958611000;CV VIDYA KARYA PERSADA;PANDEAN I NO. 28, SURABAYA;30007000;3000700;0;1;012;012;;;
FM;01;1;0021852798101;07;2018;05/07/2018;755896503617000;PT TIGA BINTANG ELECTRIC;Perumahan Bumi Citra Fajar Jl Sekawan Ayu Blok E;7100000;710000;0;1;015;015;;;
FM;03;0;0041843241205;07;2018;30/07/2018;762591535504000;PT BERKAH MULTI CARGO;JL PRAPAT KURUNG UTARA NO 58 RT 003 RW 010 KOTA SURABAYA;14972600;1497260;0;1;013;013;;;
FM;01;0;0021870261132;07;2018;04/04/2018;027736248517000;PT. HARTA VERA LLOYD;JL. BUKIT RAYA NO. 59 NGESREP, SEMARANG;2180640;218064;0;1;013;013;;;
FM;03;0;0041847089173;07;2018;30/07/2018;011085016631000;KOP KOPERASI PEGAWAI PT PELABUHAN INDONESIA III SURABAYA;JL PERAK TIMUR NO 426 RT 02 RW 03 PERAK UTARA SURABAYA;16666666;1666666;0;0;013;013;;;
FM;01;0;0041871880065;07;2018;10/07/2018;663021426609000;CV DEAL JAYA;MARGOREJO 2G NO.31 B;8276400;827640;0;1;015;015;;;
FM;01;0;0031882126287;07;2018;11/07/2018;747213619612000;CV CAHYATRI ABADI;JL YOS SUDARSO BLOK IV NO 41, PULO PANCIKAN, GRESIK;3900000;390000;0;1;015;015;;;
FM;03;0;0021859038307;07;2018;30/07/2018;711503508508000;CV DINAR MITRAGUNA;JL PISANG RT 005 RW 003 LAMPER TENGAH KOTA SEMARANG;4951000;495100;0;1;013;013;;;
FM;03;0;0031864807766;07;2018;16/07/2018;018310698511000;KOP TKBM PELABUHAN TANJUNG EMAS SEMARANG;JL BORNEO NO 3 TANJUNGMAS SEMARANG;40797020;4079702;0;1;013;013;;;
FM;03;0;0021859038309;07;2018;30/07/2018;711503508508000;CV DINAR MITRAGUNA;JL PISANG RT 005 RW 003 LAMPER TENGAH KOTA SEMARANG;4951000;495100;0;1;013;013;;;
